Wireless game controller,,無線ゲームコントローラ
XBus,,XBus
You have created a working design for this specification!\n\nClick the *upload* button below to upload this specification to Steam Workshop.,,利用可能な仕様のデザインを作成しました．\n\nSTEAM WORKSHOPにアップロードするには下のアップロードボタンを押してください．
You must create a working design for this specification before you can upload it to Steam Workshop.,,STEAM WORKSHOPにアップロードする前に，この仕様の動作可能なデザインを作成する必要があります．
"You will not lose access to any puzzles, but there will be no going back!",,すべての問題にはいつでもアクセスできますが，ここにはもう戻れません！
You will not lose access to any puzzles.,,すべての問題にはいつでもアクセスできます．
You've successfully completed one test run! Let the simulation continue running to complete the verification process.,,你已经成功完成了一次测试运行！继续运行模拟，从而完成验证过程。
a,SIGNAL NAME,a
active,SIGNAL NAME,active
alarm,SIGNAL NAME,alarm
alive,SIGNAL NAME,alive
audio-in,SIGNAL NAME,audio-in
audio-out,SIGNAL NAME,audio-out
b,SIGNAL NAME,b
bell,SIGNAL NAME,bell
blue,SIGNAL NAME,blue
bread,SIGNAL NAME,bread
button,SIGNAL NAME,button
buzzer,SIGNAL NAME,buzzer
card-reader,SIGNAL NAME,card-reader
cash-100,SIGNAL NAME,cash-100
cash-20,SIGNAL NAME,cash-20
cash-50,SIGNAL NAME,cash-50
cheese,SIGNAL NAME,cheese
click-0,SIGNAL NAME,click-0
click-1,SIGNAL NAME,click-1
conceptMAIL,,conceptMAIL
conceptSPEC,,conceptSPEC
control,SIGNAL NAME,control
control-in,SIGNAL NAME,control-in
control-out,SIGNAL NAME,control-out
cranberry,SIGNAL NAME,cranberry
data,SIGNAL NAME,data
detect,SIGNAL NAME,detect
display,SIGNAL NAME,display
display output,,ディスプレイ出力
drink-0,SIGNAL NAME,drink-0
drink-1,SIGNAL NAME,drink-1
drink-2,SIGNAL NAME,drink-2
emergency,SIGNAL NAME,emergency
error,SIGNAL NAME,error
extend,SIGNAL NAME,extend
extrude,SIGNAL NAME,extrude
fire,SIGNAL NAME,fire
fish,SIGNAL NAME,fish
flag,SIGNAL NAME,flag
flood-20,SIGNAL NAME,flood-20
flood-60,SIGNAL NAME,flood-60
food-a,SIGNAL NAME,food-a
food-b,SIGNAL NAME,food-b
foul,SIGNAL NAME,foul
gate-a,SIGNAL NAME,gate-a
gate-b,SIGNAL NAME,gate-b
gate-c,SIGNAL NAME,gate-c
gin,SIGNAL NAME,gin
grab,SIGNAL NAME,grab
green,SIGNAL NAME,green
harvest,SIGNAL NAME,harvest
higher-in,SIGNAL NAME,higher-in
higher-out,SIGNAL NAME,higher-out
hit,SIGNAL NAME,hit
in-1,SIGNAL NAME,in-1
in-12,SIGNAL NAME,in-12
in-5,SIGNAL NAME,in-5
ink-k,SIGNAL NAME,ink-k
ink-n,SIGNAL NAME,ink-n
input,SIGNAL NAME,input
input,,入力
keypad,SIGNAL NAME,keypad
keywords,SIGNAL NAME,keywords
laser,SIGNAL NAME,laser
learn,SIGNAL NAME,learn
lemon,SIGNAL NAME,lemon
light,SIGNAL NAME,light
light-0,SIGNAL NAME,light-0
light-1,SIGNAL NAME,light-1
light-2,SIGNAL NAME,light-2
lime,SIGNAL NAME,lime
logos-data,SIGNAL NAME,logos-data
logos-pump,SIGNAL NAME,logos-pump
lower-in,SIGNAL NAME,lower-in
lower-out,SIGNAL NAME,lower-out
magnetic,SIGNAL NAME,magnetic
maximize,SIGNAL NAME,maximize
meat,SIGNAL NAME,meat
mesh-data,SIGNAL NAME,mesh-data
meter-in,SIGNAL NAME,meter-in
meter-out,SIGNAL NAME,meter-out
motor,SIGNAL NAME,motor
motor-0,SIGNAL NAME,motor-0
motor-1,SIGNAL NAME,motor-1
motor-2,SIGNAL NAME,motor-2
motor-3,SIGNAL NAME,motor-3
motor-x,SIGNAL NAME,motor-x
motor-y,SIGNAL NAME,motor-y
mustard,SIGNAL NAME,mustard
negated,SIGNAL NAME,negated
network,SIGNAL NAME,network
non-blocking,,non-blocking
none,,none
oracle,SIGNAL NAME,oracle
out-1,SIGNAL NAME,out-1
out-5,SIGNAL NAME,out-5
output,SIGNAL NAME,output
output,,出力
override,SIGNAL NAME,override
point,SIGNAL NAME,point
power,SIGNAL NAME,power
power-0,SIGNAL NAME,power-0
power-1,SIGNAL NAME,power-1
power-2,SIGNAL NAME,power-2
product,SIGNAL NAME,product
pulse,SIGNAL NAME,pulse
radar-in,SIGNAL NAME,radar-in
radar-out,SIGNAL NAME,radar-out
radar-ping,SIGNAL NAME,radar-ping
radar-sync,SIGNAL NAME,radar-sync
radio-rx,SIGNAL NAME,radio-rx
radio-tx,SIGNAL NAME,radio-tx
random,SIGNAL NAME,random
recommended,,推奨設定
red,SIGNAL NAME,red
reload,SIGNAL NAME,reload
reset-off,SIGNAL NAME,reset-off
respawn,SIGNAL NAME,respawn
rice,SIGNAL NAME,rice
score-1,SIGNAL NAME,score-1
score-2,SIGNAL NAME,score-2
sense-0,SIGNAL NAME,sense-0
sense-1,SIGNAL NAME,sense-1
sense-2,SIGNAL NAME,sense-2
sense-3,SIGNAL NAME,sense-3
sense-4,SIGNAL NAME,sense-4
sense-5,SIGNAL NAME,sense-5
sensor,SIGNAL NAME,sensor
simple,,単純
sonar,SIGNAL NAME,sonar
speaker,SIGNAL NAME,speaker
stage-1,SIGNAL NAME,stage-1
stage-2,SIGNAL NAME,stage-2
stage-3,SIGNAL NAME,stage-3
stage-4,SIGNAL NAME,stage-4
start-stop,SIGNAL NAME,start-stop
tag-reader,SIGNAL NAME,tag-reader
target-x,SIGNAL NAME,target-x
target-y,SIGNAL NAME,target-y
telos-data,SIGNAL NAME,telos-data
telos-pump,SIGNAL NAME,telos-pump
temp,SIGNAL NAME,temp
time,SIGNAL NAME,time
tool-clean,SIGNAL NAME,tool-clean
tool-feed,SIGNAL NAME,tool-feed
touch,SIGNAL NAME,touch
trigger,SIGNAL NAME,trigger
unlock,SIGNAL NAME,unlock
valve-0,SIGNAL NAME,valve-0
valve-1,SIGNAL NAME,valve-1
valve-2,SIGNAL NAME,valve-2
valve-α,SIGNAL NAME,valve-α
valve-β,SIGNAL NAME,valve-β
valve-ψ,SIGNAL NAME,valve-ψ
vermouth,SIGNAL NAME,vermouth
vodka,SIGNAL NAME,vodka
weight,SIGNAL NAME,weight
window,SIGNAL NAME,window
x,SIGNAL NAME,x
y,SIGNAL NAME,y
{0} COST | {1} POWER | {2} LINES,,{0} 製造コスト | {1} 使用電力 | {2} コード行数
“That’s just not something we do in this country. Not anymore.”,,我们在这个国家里不能这么做。现在已经不再允许了。
